1950,84
1951,96
1952,87
1953,75
1954,74
1955,80
1956,79
1957,85
1958,79
1959,77
1960,75
1961,71
1962,68
1963,34
1964,37
1965,35
1966,34
1967,38
1968,34
1969,43
1970,37
1971,46
1972,39
1973,40
1974,44
1975,36
1976,43
1977,51
1978,45
1979,60
1980,64
1981,64
1982,69
1983,63
1984,79
1985,79
1986,80
1987,84
1988,74
1989,87
1990,93
1991,95
1992,92
1993,97
1994,97
1995,96
1996,103
1997,113
1998,107
1999,115
2000,134
2001,153
2002,152
2003,159
2004,162
2005,170
2006,189
2007,196
2008,205
2009,216
2010,216
2011,210
2012,237
2013,227
2014,222
2015,212
