1950,54
1951,53
1952,52
1953,48
1954,48
1955,46
1956,46
1957,47
1958,48
1959,38
1960,42
1961,41
1962,36
1963,34
1964,37
1965,35
1966,34
1967,38
1968,34
1969,43
1970,37
1971,46
1972,39
1973,40
1974,44
1975,36
1976,43
1977,42
1978,39
1979,44
1980,46
1981,48
1982,53
1983,48
1984,60
1985,59
1986,59
1987,54
1988,55
1989,71
1990,67
1991,68
1992,73
1993,68
1994,66
1995,72
1996,75
1997,83
1998,76
1999,84
2000,91
2001,110
2002,116
2003,120
2004,113
2005,121
2006,144
2007,144
2008,151
2009,161
2010,167
2011,174
2012,166
2013,174
2014,157
2015,150
