1950,84
1951,96
1952,87
1953,75
1954,74
1955,80
1956,79
1957,85
1958,79
1959,77
1960,75
1961,71
1962,68
1963,34
1964,37
1965,35
1966,34
1967,38
1968,34
1969,43
1970,37
1971,61
1972,39
1973,40
1974,44
1975,37
1976,43
1977,51
1978,45
1979,60
1980,65
1981,65
1982,71
1983,67
1984,79
1985,81
1986,83
1987,87
1988,74
1989,88
1990,128
1991,98
1992,95
1993,98
1994,97
1995,98
1996,103
1997,116
1998,108
1999,115
2000,135
2001,156
2002,154
2003,159
2004,164
2005,172
2006,193
2007,196
2008,207
2009,219
2010,219
2011,215
2012,239
2013,228
2014,225
2015,213
