1950,79
1951,93
1952,87
1953,74
1954,73
1955,78
1956,78
1957,84
1958,76
1959,73
1960,70
1961,68
1962,65
1963,33
1964,34
1965,31
1966,34
1967,37
1968,32
1969,42
1970,35
1971,42
1972,37
1973,38
1974,54
1975,36
1976,41
1977,50
1978,44
1979,54
1980,61
1981,63
1982,64
1983,56
1984,75
1985,79
1986,78
1987,76
1988,68
1989,78
1990,104
1991,89
1992,82
1993,87
1994,86
1995,80
1996,91
1997,100
1998,95
1999,95
2000,115
2001,130
2002,123
2003,134
2004,135
2005,152
2006,164
2007,170
2008,174
2009,182
2010,185
2011,184
2012,198
2013,194
2014,191
2015,185
